sample,cell type
"Lgr5 positive intestinal stem cells, pool2.CNhs12556.12229-129F6",Lgr5 positive intestinal stem cell
"Lgr5 positive intestinal stem cells, pool3.CNhs12557.12230-129F7",Lgr5 positive intestinal stem cell
"MC1+Gr1+ myeloid-derived suppressor cells cancer, donor1 (10,11,12 3LL).CNhs12539.12159-128G8",MC1+Gr1+ myeloid-derived suppressor cell
"MC1+Gr1+ myeloid-derived suppressor cells cancer, donor2 (0127 3LL).CNhs12198.12161-128H1",MC1+Gr1+ myeloid-derived suppressor cell
"MC1+Gr1+ myeloid-derived suppressor cells cancer, donor3 (0128 3LL).CNhs12542.12163-128H3",MC1+Gr1+ myeloid-derived suppressor cell
"MC1+Gr1+ myeloid-derived suppressor cells control, donor1 (4,5,6PBS).CNhs12540.12160-128G9",MC1+Gr1+ myeloid-derived suppressor cell
"MC1+Gr1+ myeloid-derived suppressor cells control, donor2 (0127 PBS).CNhs12541.12162-128H2",MC1+Gr1+ myeloid-derived suppressor cell
"MC1+Gr1+ myeloid-derived suppressor cells control, donor3 (0128 PBS).CNhs12543.12164-128H4",MC1+Gr1+ myeloid-derived suppressor cell
"ST2 (Mesenchymal stem cells) cells, medium change (without induction), 00hr, biol_rep1 (000hC4).CNhs11939.12338-130I7",ST2 Mesenchymal stem cell line
"ST2 (Mesenchymal stem cells) cells, medium change (without induction), 00hr, biol_rep2 (000hC5).CNhs13275.12460-132E3",ST2 Mesenchymal stem cell line
"ST2 (Mesenchymal stem cells) cells, medium change (without induction), 00hr, biol_rep3 (000hC6).CNhs13324.12582-133I8",ST2 Mesenchymal stem cell line
"Sox2+ Supporting cells - organ of corti, pool1.CNhs12532.12157-128G6",Sox2+ Supporting cell - organ of corti
"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day06, biol_rep1 (144hA1).CNhs13129.12322-130G9",adipocyte
"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day06, biol_rep2 (144hA2).CNhs13258.12444-132C5",adipocyte
"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day06, biol_rep3 (144hA3).CNhs13307.12566-133H1",adipocyte
"adrenal gland, adult.CNhs10508.49-24D7",adrenal gland
"adrenal gland, embryo E14.CNhs11038.406-44C5",adrenal gland
"adrenal gland, embryo E16.CNhs11004.1254-43D6",adrenal gland
"adrenal gland, embryo E17.CNhs11043.1263-45I1",adrenal gland
"adrenal gland, embryo E18.CNhs11026.1262-18F5",adrenal gland
"adrenal gland, neonate N00.CNhs11191.1311-23C1",adrenal gland
"adrenal gland, neonate N25.CNhs11223.1377-27I3",adrenal gland
"amnion, adult pregnant day17.5.CNhs10488.583-22A8",amnion
"aorta, adult.CNhs10498.46-23H1",aorta
"Mouse Aortic Smooth Muscle cells - differentiated, biol_rep1.CNhs11055.11484-119D8",aortic smooth muscle cell
"Mouse Aortic Smooth Muscle cells - differentiated, biol_rep2.CNhs11056.11485-119D9",aortic smooth muscle cell
"Mouse Aortic Smooth Muscle cells, donor1.CNhs11297.11299-117B3",aortic smooth muscle cell
"Astrocytes, donor1.CNhs11915.11710-123B9",astrocyte
"Mouse Astrocytes - cerebellar, donor1.CNhs13077.11708-123B7",astrocyte
"Mouse Astrocytes - cerebellar, donor2.CNhs12076.11550-120C2",astrocyte
"Mouse Astrocytes - hippocampus, donor1.CNhs12129.11709-123B8",astrocyte
"Mouse Astrocytes - hippocampus, donor2.CNhs12077.11551-120C3",astrocyte
"Mouse Astrocytes, donor2.CNhs12078.11552-120C4",astrocyte
"Mouse Astrocytes, donor3.CNhs12107.11633-122C4",astrocyte
"accessory axillary lymph node, adult.CNhs10475.1063-29H9",axillary lymph node
"bone (os femoris), adult.CNhs10483.56-12G2",bone
"bone (os femoris), neonate N02.CNhs11227.1985-43F5",bone
"bone (os femoris), neonate N16.CNhs11225.1525-43A6",bone
"bone (os femoris), neonate N20.CNhs11195.1350-25C3",bone
"macrophage, bone marrow derived, pool1.CNhs11457.3560-170A1",bone marrow macrophage
"macrophage, bone marrow derived, pool2.CNhs11532.3632-171A1",bone marrow macrophage
"macrophage, bone marrow derived, pool3.CNhs11632.3704-172A1",bone marrow macrophage
"macrophage, bone marrow derived.CNhs14136.2171-50H8",bone marrow macrophage
"stem cell (cKit+ Sca1- lineage-) KSL, biol_rep1.CNhs12534.12121-128C6",cKit+ Sca1- lineage- (KSL stem cell)
"stem cell (cKit+ Sca1- lineage-) KSL, biol_rep2.CNhs12535.12124-128C9",cKit+ Sca1- lineage- (KSL stem cell)
"stem cell (cKit+ Sca1- lineage-) KSL, biol_rep3.CNhs12536.12127-128D3",cKit+ Sca1- lineage- (KSL stem cell)
"Mouse Cardiac Myocytes, donor1.CNhs12355.11711-123C1",cardiac myocyte
"Mouse Cardiac Myocytes, donor2.CNhs12356.11729-123E1",cardiac myocyte
"Mouse Cardiac Myocytes, donor3.CNhs12353.11634-122C5",cardiac myocyte
"cecum, adult.CNhs10467.37-13H4",cecum
"Mouse Granule cells, donor1.CNhs12131.11713-123C3",cerebellar granule cell
"Mouse Granule cells, donor2.CNhs12357.11731-123E3",cerebellar granule cell
"Mouse Granule cells, donor3.CNhs12108.11636-122C7",cerebellar granule cell
"cerebellar granule cells, embryo E13, biol_rep1 (E13R1).CNhs14143.13532-145G4",cerebellar granule cell
"cerebellar granule cells, embryo E13, biol_rep2 (E13R2).CNhs14144.13533-145G5",cerebellar granule cell
"cerebellar granule cells, embryo E13, biol_rep3 (E13R3).CNhs14146.13534-145G6",cerebellar granule cell
"cerebellar granule cells, embryo E15, biol_rep1 (E15R1).CNhs14162.13535-145G7",cerebellar granule cell
"cerebellar granule cells, embryo E15, biol_rep2 (E15R2).CNhs14163.13536-145G8",cerebellar granule cell
"cerebellar granule cells, embryo E15, biol_rep3 (E15R3).CNhs14164.13537-145G9",cerebellar granule cell
"cerebellar granule cells, embryo E18, biol_rep1 (E18R1).CNhs14165.13538-145H1",cerebellar granule cell
"cerebellar granule cells, embryo E18, biol_rep2 (E18R2).CNhs14166.13539-145H2",cerebellar granule cell
"cerebellar granule cells, embryo E18, biol_rep3 (E13R3).CNhs14167.13540-145H3",cerebellar granule cell
"cerebellum, adult.CNhs10494.15-8B2",cerebellum
"cerebellum, embryo E11, biol_rep1 (E11R1).CNhs12956.10114-102E6",cerebellum
"cerebellum, embryo E11, biol_rep2 (E11R2).CNhs13002.10126-102F9",cerebellum
"cerebellum, embryo E11, biol_rep3 (E11R3).CNhs13014.10138-102H3",cerebellum
"cerebellum, embryo E12, biol_rep1 (E12R1).CNhs12957.10115-102E7",cerebellum
"cerebellum, embryo E12, biol_rep2 (E12R2).CNhs13003.10127-102G1",cerebellum
"cerebellum, embryo E12, biol_rep3 (E12R3).CNhs13015.10139-102H4",cerebellum
"cerebellum, embryo E13, biol_rep1 (E13R1).CNhs12958.10116-102E8",cerebellum
"cerebellum, embryo E13, biol_rep2 (E13R2).CNhs13004.10128-102G2",cerebellum
"cerebellum, embryo E13, biol_rep3 (E13R3).CNhs13016.10140-102H5",cerebellum
"cerebellum, embryo E14, biol_rep1 (E14R1).CNhs12960.10117-102E9",cerebellum
"cerebellum, embryo E14, biol_rep2 (E14R2).CNhs13005.10129-102G3",cerebellum
"cerebellum, embryo E14, biol_rep3 (E14R3).CNhs13017.10141-102H6",cerebellum
"cerebellum, embryo E15, biol_rep1 (E15R1).CNhs12961.10118-102F1",cerebellum
"cerebellum, embryo E15, biol_rep2 (E15R2).CNhs13006.10130-102G4",cerebellum
"cerebellum, embryo E15, biol_rep3 (E15R3).CNhs13018.10142-102H7",cerebellum
"cerebellum, embryo E16, biol_rep1 (E16R1).CNhs13000.10119-102F2",cerebellum
"cerebellum, embryo E16, biol_rep2 (E16R2).CNhs13007.10131-102G5",cerebellum
"cerebellum, embryo E16, biol_rep3 (E16R3).CNhs13019.10143-102H8",cerebellum
"cerebellum, embryo E17, biol_rep1 (E17R1).CNhs12818.10120-102F3",cerebellum
"cerebellum, embryo E17, biol_rep2 (E17R2).CNhs13008.10132-102G6",cerebellum
"cerebellum, embryo E17, biol_rep3 (E17R3).CNhs13020.10144-102H9",cerebellum
"cerebellum, embryo E18, biol_rep1 (E18R1).CNhs12962.10121-102F4",cerebellum
"cerebellum, embryo E18, biol_rep2 (E18R2).CNhs13009.10133-102G7",cerebellum
"cerebellum, embryo E18, biol_rep3 (E18R3).CNhs13021.10145-102I1",cerebellum
"cerebellum, neonate N00, biol_rep1 (P0R1).CNhs12963.10122-102F5",cerebellum
"cerebellum, neonate N00, biol_rep2 (P0R2).CNhs13010.10134-102G8",cerebellum
"cerebellum, neonate N00, biol_rep3 (P0R3).CNhs13022.10146-102I2",cerebellum
"cerebellum, neonate N03, biol_rep1 (P3R1).CNhs13001.10123-102F6",cerebellum
"cerebellum, neonate N03, biol_rep2 (P3R2).CNhs13011.10135-102G9",cerebellum
"cerebellum, neonate N03, biol_rep3 (P3R3).CNhs13024.10147-102I3",cerebellum
"cerebellum, neonate N06, biol_rep1 (P6R1).CNhs12819.10124-102F7",cerebellum
"cerebellum, neonate N06, biol_rep2 (P6R2).CNhs13012.10136-102H1",cerebellum
"cerebellum, neonate N06, biol_rep3 (P6R3).CNhs13025.10148-102I4",cerebellum
"cerebellum, neonate N09, biol_rep1 (P9R1).CNhs12820.10125-102F8",cerebellum
"cerebellum, neonate N09, biol_rep2 (P9R2).CNhs13013.10137-102H2",cerebellum
"cerebellum, neonate N09, biol_rep3 (P9R3).CNhs13026.10149-102I5",cerebellum
"cerebellum, neonate N30.CNhs11135.1395-42I2",cerebellum
"colon, adult.CNhs10468.36-18H7",colon
"common myeloid progenitor CMP, biol_rep1.CNhs12550.12122-128C7",common myeloid progenitor
"common myeloid progenitor CMP, biol_rep2.CNhs12203.12125-128D1",common myeloid progenitor
"common myeloid progenitor CMP, biol_rep3.CNhs12551.12128-128D4",common myeloid progenitor
"corpora quadrigemina, adult.CNhs10501.16-22A4",corpora quadrigemina
"corpus striatum, adult.CNhs10487.19-21D8",corpus striatum
"corpus striatum, neonate N00.CNhs11226.630-43F1",corpus striatum
"cortex, adult.CNhs10473.12-14D5",cortex
"cortex, neonate N30.CNhs11107.1392-42F2",cortex
"diencephalon, adult.CNhs10482.20-12F2",diencephalon
"diencephalon, neonate N30.CNhs11201.1388-42B2",diencephalon
"ES-46C embryonic stem cells, neuronal differentiation, day00, biol_rep1.CNhs14104.14357-155I1",embryonic stem cell
"ES-46C embryonic stem cells, neuronal differentiation, day00, biol_rep2.CNhs14109.14362-155I6",embryonic stem cell
"ES-OS25 embryonic stem cells, DMSO control, biol_rep1.CNhs14085.14339-155G1",embryonic stem cell
"ES-OS25 embryonic stem cells, DMSO control, biol_rep2.CNhs14086.14340-155G2",embryonic stem cell
"ES-OS25 embryonic stem cells, DMSO control, biol_rep3.CNhs14087.14341-155G3",embryonic stem cell
"ES-OS25 embryonic stem cells, untreated control, biol_rep1.CNhs14091.14345-155G7",embryonic stem cell
"ES-OS25 embryonic stem cells, untreated control, biol_rep2.CNhs14092.14346-155G8",embryonic stem cell
"ES-OS25 embryonic stem cells, untreated control, biol_rep3.CNhs14093.14347-155G9",embryonic stem cell
"ES-OS25 embryonic stem cells, untreated siRNA control, biol_rep1.CNhs14114.14367-156A2",embryonic stem cell
"ES-OS25 embryonic stem cells, untreated siRNA control, biol_rep2.CNhs14115.14368-156A3",embryonic stem cell
"neurospheres - enteric neuron derived, biol_rep1.CNhs13087.11810-124E1",enteric neuron
"neurospheres - enteric neuron derived, biol_rep2.CNhs13088.11811-124E2",enteric neuron
"neurospheres - enteric neuron derived, biol_rep3.CNhs13089.11812-124E3",enteric neuron
"CD326+ enterocyte isolated from mice, treated with RANKL, day03, pool1.CNhs13242.11850-124I5",enterocyte
"CD326+ enterocyte isolated from mice, treated with RANKL, day03, pool2.CNhs13233.11851-124I6",enterocyte
"CD326+ enterocyte, pool1.CNhs13542.11848-124I3",enterocyte
"CD326+ enterocyte, pool2.CNhs13197.11849-124I4",enterocyte
"CD326++ enterocyte isolated from mice, treated with RANKL, day03, pool1.CNhs13236.11852-124I7",enterocyte
"CD326++ enterocyte isolated from mice, treated with RANKL, day03, pool2.CNhs13210.11853-124I8",enterocyte
"epididymis and seminiferous tubule, neonate N00.CNhs11218.1310-23B1",epididymis
"epididymis and seminiferous tubule, neonate N30.CNhs11199.1387-42A2",epididymis
"epididymis, adult.CNhs10490.58-23B2",epididymis
"J2E erythroblastic leukemia response to erythropoietin, 00hr00min, biol_rep1.CNhs12449.13063-139I3",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 00hr00min, biol_rep2.CNhs12668.13129-140G6",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 00hr00min, biol_rep3, tech_rep1.CNhs12770.13195-141E9",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 00hr00min, biol_rep3, tech_rep2.CNhs14547.13195-141E9",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 00hr15min, biol_rep1.CNhs12644.13064-139I4",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 00hr15min, biol_rep2.CNhs12669.13130-140G7",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 00hr15min, biol_rep3.CNhs12771.13196-141F1",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 00hr30min, biol_rep1.CNhs12645.13065-139I5",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 00hr30min, biol_rep3.CNhs12772.13197-141F2",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 00hr45min, biol_rep1.CNhs12646.13066-139I6",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 00hr45min, biol_rep2.CNhs12671.13132-140G9",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 00hr45min, biol_rep3.CNhs12773.13198-141F3",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 01hr00min, biol_rep1.CNhs12647.13067-139I7",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 01hr00min, biol_rep2.CNhs12672.13133-140H1",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 01hr00min, biol_rep3.CNhs12774.13199-141F4",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 01hr20min, biol_rep1.CNhs12648.13068-139I8",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 01hr20min, biol_rep2.CNhs12673.13134-140H2",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 01hr20min, biol_rep3.CNhs12775.13200-141F5",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 01hr40min, biol_rep1.CNhs12649.13069-139I9",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 01hr40min, biol_rep2.CNhs12674.13135-140H3",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 01hr40min, biol_rep3.CNhs12776.13201-141F6",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 02hr00min, biol_rep1.CNhs12650.13070-140A1",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 02hr00min, biol_rep2.CNhs12675.13136-140H4",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 02hr00min, biol_rep3, tech_rep2.CNhs14548.13202-141F7",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 02hr30min, biol_rep1.CNhs12651.13071-140A2",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 02hr30min, biol_rep2.CNhs12676.13137-140H5",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 02hr30min, biol_rep3.CNhs12778.13203-141F8",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 03hr00min, biol_rep1.CNhs12450.13072-140A3",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 03hr00min, biol_rep2.CNhs12677.13138-140H6",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 03hr00min, biol_rep3.CNhs12779.13204-141F9",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 03hr30min, biol_rep1.CNhs12451.13073-140A4",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 03hr30min, biol_rep2.CNhs12678.13139-140H7",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 03hr30min, biol_rep3.CNhs12780.13205-141G1",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 04hr, biol_rep1.CNhs12452.13074-140A5",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 04hr, biol_rep2.CNhs12679.13140-140H8",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 04hr, biol_rep3.CNhs12781.13206-141G2",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 06hr, biol_rep1.CNhs12453.13075-140A6",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 06hr, biol_rep2.CNhs12680.13141-140H9",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 06hr, biol_rep3.CNhs12782.13207-141G3",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 12hr, biol_rep1.CNhs12454.13076-140A7",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 12hr, biol_rep2, tech_rep2.CNhs14546.13142-140I1",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 12hr, biol_rep3.CNhs12783.13208-141G4",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 24hr, biol_rep1.CNhs12455.13077-140A8",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 24hr, biol_rep2.CNhs12682.13143-140I2",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 24hr, biol_rep3.CNhs12784.13209-141G5",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 48hr, biol_rep1.CNhs12456.13078-140A9",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 48hr, biol_rep2.CNhs12683.13144-140I3",erythroblastic leukemia cell line
"J2E erythroblastic leukemia response to erythropoietin, 48hr, biol_rep3.CNhs12785.13210-141G6",erythroblastic leukemia cell line
"eyeball, adult.CNhs10484.31-12G4",eyeball
"eyeball, embryo E12.CNhs11016.345-16C6",eyeball
"eyeball, embryo E14.CNhs10521.399-16E2",eyeball
"eyeball, embryo E15.CNhs10593.426-16C9",eyeball
"eyeball, embryo E17.CNhs11023.1261-18D4",eyeball
"eyeball, neonate N00.CNhs11207.633-15C6",eyeball
"eyeball, neonate N01.CNhs11140.1532-43E7",eyeball
"eyeball, neonate N02.CNhs11205.1551-44G8",eyeball
"eyeball, neonate N16.CNhs11188.777-19A2",eyeball
mouse fibroblast cell line: CRL-1658 NIH/3T3.CNhs11093.1830-49C7,fibroblast cell line
"Follicle Associated Epithelium, pool2.CNhs13211.10262-104D1",follicle associated epithelium
"Follicle Associated Epithelium, pool3.CNhs13200.10263-104D2",follicle associated epithelium
"forelimb, embryo E11.CNhs10596.335-25E2",forelimb
"forelimb, embryo E12.CNhs10600.359-14H2",forelimb
"forelimb, embryo E13.CNhs10589.384-1E2",forelimb
"forelimb, embryo E14.CNhs10577.413-26A8",forelimb
"forelimb, embryo E15.CNhs11007.437-20E7",forelimb
"forelimb, embryo E17.CNhs10598.1517-43C4",forelimb
"forelimb, embryo E18.CNhs11008.1520-43B5",forelimb
"gonad, embryo E13.CNhs11044.1564-45I6","gonad, embryo E13"
"granulocyte macrophage progenitor GMP, biol_rep1.CNhs12206.12123-128C8",granulocyte macrophage progenitor
"granulocyte macrophage progenitor GMP, biol_rep2.CNhs12202.12126-128D2",granulocyte macrophage progenitor
"granulocyte macrophage progenitor GMP, biol_rep3.CNhs11928.12129-128D5",granulocyte macrophage progenitor
"heart, embryo E11.CNhs10586.331-24E9",heart
"heart, embryo E12.CNhs11015.353-12F5",heart
"heart, embryo E13.CNhs11013.376-3I9",heart
"heart, embryo E14.CNhs10597.403-26D4",heart
"heart, embryo E15.CNhs11017.431-16C8",heart
"heart, embryo E16.CNhs11021.457-17C6",heart
"heart, embryo E17.CNhs11025.479-18E5",heart
"heart, embryo E18.CNhs11030.1283-20G3",heart
"heart, neonate N00.CNhs11213.639-21E3",heart
"heart, neonate N03.CNhs11221.1349-25I2",heart
"heart, neonate N10.CNhs11118.749-24G1",heart
"heart, neonate N16.CNhs11209.782-15G1",heart
"heart, neonate N20.CNhs11127.821-26I6",heart
"heart, neonate N25.CNhs11196.1351-25D3",heart
"heart, neonate N30.CNhs11202.1390-42D2",heart
"hematopoietic stem cell, aorta-gonad-mesonephros (AGM) region derived, embryo E10.5.CNhs14374.11949-126B5","hematopoietic stem cell, aorta-gonad-mesonephros (AGM) region derived"
"hematopoietic stem cell,aorta-gonad-mesonephros (AGM) region derived, embryo E11.5.CNhs14151.11951-126B7","hematopoietic stem cell, aorta-gonad-mesonephros (AGM) region derived"
"hematopoietic stem cell, bone marrow derived, adult 2years.CNhs14157.11958-126C5","hematopoietic stem cell, fetal liver derived"
"hematopoietic stem cell, bone marrow derived, embryo E19.5.CNhs14375.11956-126C3","hematopoietic stem cell, fetal liver derived"
"hematopoietic stem cell, bone marrow derived, newborn 2-3months.CNhs14156.11957-126C4","hematopoietic stem cell, fetal liver derived"
"hematopoietic stem cell, fetal liver derived, embryo E12.5.CNhs14153.11953-126B9","hematopoietic stem cell, fetal liver derived"
"hematopoietic stem cell, fetal liver derived, embryo E14.5.CNhs14154.11954-126C1","hematopoietic stem cell, fetal liver derived"
"hematopoietic stem cell, fetal liver derived, embryo E19.5.CNhs14155.11955-126C2","hematopoietic stem cell, fetal liver derived"
"hematopoietic stem cell, placenta derived, embryo E10.5.CNhs14150.11950-126B6","hematopoietic stem cell, placenta derived"
"hematopoietic stem cell, placenta derived, embryo E11.5.CNhs14152.11952-126B8","hematopoietic stem cell, placenta derived"
"Pre-hematopoietic stem cell, aorta-gonad-mesonephros (AGM) region derived, embryo E9.5.CNhs14149.11948-126B4","hematopoietic stem cell,aorta-gonad-mesonephros (AGM) region derived"
"Mouse hepatic Stellate Cells (lipocyte), donor1.CNhs13196.11825-124F7",hepatic stellate cell
"hepatic stellate cells, partial hepatectomy, 01week, biol_rep1.CNhs14517.13622-146H4",hepatic stellate cell
"hepatic stellate cells, partial hepatectomy, 02hr, biol_rep1.CNhs14393.13613-146G4",hepatic stellate cell
"hepatic stellate cells, partial hepatectomy, 30hr, biol_rep1.CNhs14511.13616-146G7",hepatic stellate cell
"hepatic stellate cells, partial hepatectomy, 30hr, biol_rep2.CNhs14512.13617-146G8",hepatic stellate cell
"hepatic stellate cells, partial hepatectomy, 30hr, biol_rep3.CNhs14513.13618-146G9",hepatic stellate cell
"hepatic stellate cells, partial hepatectomy, 48hr, biol_rep1.CNhs14514.13619-146H1",hepatic stellate cell
"hepatic stellate cells, partial hepatectomy, 48hr, biol_rep2.CNhs14515.13620-146H2",hepatic stellate cell
"hepatic stellate cells, partial hepatectomy, 48hr, biol_rep3.CNhs14516.13621-146H3",hepatic stellate cell
"hepatic stellate cells, sham operation, biol_rep1.CNhs14390.13610-146G1",hepatic stellate cell
"hepatic stellate cells, sham operation, biol_rep2.CNhs14391.13611-146G2",hepatic stellate cell
"hepatic stellate cells, sham operation, biol_rep3.CNhs14392.13612-146G3",hepatic stellate cell
"Mouse hepatocyte, donor1.CNhs13078.11714-123C4",hepatocyte
"Mouse hepatocyte, donor3.CNhs12615.11637-122C8",hepatocyte
